SalePrice,YearSold,LotFrontage,LotSize,HouseStyle,OverallQual,OverallCond,YearBuilt,ExterQual,ExterCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition
189920,2310,74,13840,2Story,5,5,1997,TA,TA,928,928,701,1629,2,3,1,TA,6,Attchd,1997,Fin,2,482,WD ,Normal
195510,2010,78,9987,2Story,6,6,1998,TA,TA,926,926,678,1604,2,3,1,Gd,7,Attchd,1998,Fin,2,470,WD ,Normal
213510,2010,41,4920,1Story,8,5,2001,Gd,TA,1338,1338,0,1338,2,2,1,Gd,6,Attchd,2001,Fin,2,582,WD ,Normal
191500,2010,43,5005,1Story,8,5,1992,Gd,TA,1280,1280,0,1280,2,2,1,Gd,5,Attchd,1992,RFn,2,506,WD ,Normal
234500,2010,39,5389,1Story,8,5,1995,Gd,TA,1595,1616,0,1616,2,2,1,Gd,5,Attchd,1995,RFn,2,608,WD ,Normal
189000,2010,60,7500,2Story,7,5,1999,TA,TA,994,1028,776,1804,2,3,1,Gd,7,Attchd,1999,Fin,2,442,WD ,Normal
175900,2010,75,10950,2Story,6,5,1993,TA,TA,763,763,892,1655,2,3,1,TA,7,Attchd,1993,Fin,2,440,WD ,Normal
185000,2010,,7980,1Story,6,7,1992,TA,Gd,1168,1187,0,1187,2,3,1,TA,6,Attchd,1992,Fin,2,420,WD ,Normal
180400,2010,63,8402,2Story,6,5,1998,TA,TA,789,789,676,1465,2,3,1,TA,7,Attchd,1998,Fin,2,393,WD ,Normal
171500,2010,85,10176,1Story,7,5,1990,TA,TA,1300,1341,0,1341,1,2,1,Gd,5,Attchd,1990,Unf,2,506,WD ,Normal
212000,2010,,6820,1Story,8,5,1985,Gd,TA,1488,1502,0,1502,1,1,1,Gd,4,Attchd,1985,RFn,2,528,WD ,Normal
538000,2010,47,53504,2Story,8,5,2003,Ex,TA,1650,1690,1589,3279,3,4,1,Ex,12,BuiltIn,2003,Fin,3,841,WD ,Normal
164000,2010,152,12134,1.5Fin,8,7,1988,Gd,TA,559,1080,672,1752,2,4,1,TA,8,Basment,1988,RFn,2,492,WD ,Normal
394432,2010,88,11394,1Story,9,2,2010,Gd,TA,1856,1856,0,1856,1,1,1,Ex,8,Attchd,2010,Fin,3,834,New,Partial
141000,2010,140,19138,1Story,4,5,1951,TA,TA,864,864,0,864,1,2,1,TA,4,Detchd,1951,Unf,2,400,WD ,Normal
210000,2010,85,13175,1Story,6,6,1978,TA,TA,1542,2073,0,2073,2,3,1,TA,7,Attchd,1978,Unf,2,500,WD ,Normal
190000,2010,105,11751,1Story,6,6,1977,TA,TA,1844,1844,0,1844,2,3,1,TA,7,Attchd,1977,RFn,2,546,COD,Normal
170000,2010,85,10625,SFoyer,7,6,1974,TA,TA,1053,1173,0,1173,2,3,1,Gd,6,Attchd,1974,RFn,2,528,WD ,Family
216000,2010,,7500,2Story,7,5,2000,Gd,TA,814,814,860,1674,2,3,1,Gd,7,Attchd,2000,RFn,2,663,WD ,Normal
149000,2010,,11241,1Story,6,7,1970,TA,TA,1004,1004,0,1004,1,2,1,TA,5,Attchd,1970,Fin,2,480,WD ,Normal
105500,2010,21,1680,2Story,5,5,1971,TA,TA,525,525,567,1092,1,3,1,TA,6,Detchd,1997,Unf,1,320,WD ,Normal
88000,2010,21,1680,2Story,6,5,1971,TA,TA,525,525,567,1092,1,3,1,TA,6,Detchd,1971,Unf,1,264,WD ,Family
127500,2010,53,4043,1Story,6,5,1977,TA,TA,1069,1069,0,1069,2,2,1,TA,4,Attchd,1977,RFn,2,440,WD ,Normal
149900,2010,24,2280,2Story,6,6,1975,TA,TA,855,855,601,1456,2,3,1,Gd,6,Attchd,1975,Unf,2,440,WD ,Normal
120000,2010,24,2280,1Story,7,6,1975,TA,TA,836,836,0,836,1,2,1,TA,4,Attchd,1975,Unf,1,308,WD ,Normal
146000,2010,24,2280,2Story,6,5,1978,TA,TA,855,855,601,1456,2,3,1,TA,7,Attchd,1978,Unf,2,440,WD ,Normal
376162,2010,102,12858,2Story,9,5,2009,Ex,TA,1590,1627,707,2334,2,3,1,Ex,10,Attchd,2009,Fin,3,751,New,Partial
306000,2010,98,11478,1Story,8,5,2007,Gd,TA,1704,1704,0,1704,2,3,1,Gd,7,Attchd,2008,RFn,3,772,WD ,Normal
395192,2010,83,10159,1Story,9,5,2009,Ex,TA,1930,1940,0,1940,2,3,1,Ex,8,Attchd,2010,Fin,3,606,New,Partial
290941,2010,94,12883,1Story,8,5,2009,Gd,TA,1544,1544,0,1544,2,3,1,Gd,7,Attchd,2009,RFn,3,868,New,Partial
275000,2010,90,11520,1Story,9,5,2005,Gd,TA,1698,1698,0,1698,2,3,1,Ex,7,Attchd,2005,Fin,3,730,WD ,Normal
259000,2010,79,14122,1Story,8,5,2005,Gd,TA,1822,1822,0,1822,2,3,1,Ex,8,Attchd,2005,RFn,3,678,WD ,Normal
214000,2010,70,10171,1Story,7,5,2004,Gd,TA,1517,1535,0,1535,2,3,1,Gd,7,Attchd,2004,RFn,2,532,WD ,Normal
611657,2010,100,12919,1Story,9,5,2009,Ex,TA,2330,2364,0,2364,2,2,1,Ex,11,Attchd,2009,Fin,3,820,New,Partial
224000,2010,44,6371,1Story,7,5,2009,Gd,TA,1358,1358,0,1358,2,2,1,Gd,6,Attchd,2010,RFn,2,484,New,Partial
500000,2010,110,14300,1Story,9,5,2003,Ex,TA,2846,2696,0,2696,2,3,1,Ex,10,Attchd,2003,Fin,3,958,WD ,Normal
320000,2010,105,13650,2Story,8,5,2002,Gd,TA,1671,1687,563,2250,2,3,1,Gd,7,Attchd,2002,Fin,3,756,WD ,Normal
319900,2010,61,7658,1Story,9,5,2005,Ex,TA,1752,1752,0,1752,2,2,1,Ex,6,Attchd,2005,RFn,2,576,WD ,Normal
205000,2010,41,7132,1Story,8,5,2006,Gd,TA,1370,1370,0,1370,2,2,1,Gd,6,Attchd,2006,RFn,2,484,WD ,Normal
175500,2010,36,2628,2Story,7,5,2003,Gd,TA,764,764,862,1626,2,2,1,Gd,6,BuiltIn,2003,RFn,2,474,WD ,Normal
199500,2010,100,18494,1Story,6,5,2005,Gd,TA,1324,1324,0,1324,2,3,1,Gd,6,Attchd,2005,Fin,2,430,WD ,Normal
160000,2010,43,3203,1Story,7,5,2006,Gd,TA,1145,1145,0,1145,2,2,1,Gd,6,Attchd,2006,Fin,2,437,WD ,Normal
192000,2010,43,3182,1Story,8,5,2004,Gd,TA,1256,1269,0,1269,2,2,1,Gd,6,Attchd,2004,Fin,2,430,WD ,Normal
184500,2010,67,13300,SLvl,7,5,2004,Gd,TA,384,744,630,1374,2,3,1,Gd,7,BuiltIn,2004,Fin,2,400,WD ,Normal
216500,2010,,7851,2Story,6,5,2002,Gd,TA,860,860,1100,1960,2,4,1,Gd,8,BuiltIn,2002,Fin,2,440,WD ,Normal
